Date,Price
"Jun 05, 2000",1.99
"Jun 12, 2000",2.134
"Jun 19, 2000",2.148
"Jun 26, 2000",2.029
"Jul 03, 2000",1.829
"Jul 10, 2000",1.73
"Jul 17, 2000",1.617
"Jul 24, 2000",1.489
"Jul 31, 2000",1.391
"Aug 07, 2000",1.396
"Aug 14, 2000",1.365
"Aug 21, 2000",1.408
"Aug 28, 2000",1.446
"Sep 04, 2000",1.584
"Sep 11, 2000",1.574
"Sep 18, 2000",1.546
"Sep 25, 2000",1.536
"Oct 02, 2000",1.511
"Oct 09, 2000",1.483
"Oct 16, 2000",1.594
"Oct 23, 2000",1.555
"Oct 30, 2000",1.612
"Nov 06, 2000",1.585
"Nov 13, 2000",1.55
"Nov 20, 2000",1.581
"Nov 27, 2000",1.551
"Dec 04, 2000",1.523
"Dec 11, 2000",1.492
"Dec 18, 2000",1.462
"Dec 25, 2000",1.455
"Jan 01, 2001",1.524
"Jan 08, 2001",1.516
"Jan 15, 2001",1.607
"Jan 22, 2001",1.585
"Jan 29, 2001",1.58
"Feb 05, 2001",1.541
"Feb 12, 2001",1.564
"Feb 19, 2001",1.517
"Feb 26, 2001",1.466
"Mar 05, 2001",1.447
"Mar 12, 2001",1.414
"Mar 19, 2001",1.448
"Mar 26, 2001",1.397
"Apr 02, 2001",1.56
"Apr 09, 2001",1.684
"Apr 16, 2001",1.667
"Apr 23, 2001",1.892
"Apr 30, 2001",1.873
"May 07, 2001",2.011
"May 14, 2001",2.088
"May 21, 2001",2.017
"May 28, 2001",1.972
"Jun 04, 2001",1.934
"Jun 11, 2001",1.843
"Jun 18, 2001",1.741
"Jun 25, 2001",1.614
"Jul 02, 2001",1.479
"Jul 09, 2001",1.389
"Jul 16, 2001",1.344
"Jul 23, 2001",1.459
"Jul 30, 2001",1.41
"Aug 06, 2001",1.482
"Aug 13, 2001",1.562
"Aug 20, 2001",1.692
"Aug 27, 2001",1.822
"Sep 03, 2001",1.921
"Sep 10, 2001",1.872
"Sep 17, 2001",1.831
"Sep 24, 2001",1.77
"Oct 01, 2001",1.679
"Oct 08, 2001",1.546
"Oct 15, 2001",1.461
"Oct 22, 2001",1.358
"Oct 29, 2001",1.288
"Nov 05, 2001",1.238
"Nov 12, 2001",1.312
"Nov 19, 2001",1.276
"Nov 26, 2001",1.217
"Dec 03, 2001",1.222
"Dec 10, 2001",1.238
"Dec 17, 2001",1.143
"Dec 24, 2001",1.178
"Dec 31, 2001",1.237
"Jan 07, 2002",1.218
"Jan 14, 2002",1.134
"Jan 21, 2002",1.13
"Jan 28, 2002",1.128
"Feb 04, 2002",1.147
"Feb 11, 2002",1.122
"Feb 18, 2002",1.169
"Feb 25, 2002",1.168
"Mar 04, 2002",1.233
"Mar 11, 2002",1.315
"Mar 18, 2002",1.415
"Mar 25, 2002",1.523
"Apr 01, 2002",1.505
"Apr 08, 2002",1.606
"Apr 15, 2002",1.562
"Apr 22, 2002",1.531
"Apr 29, 2002",1.511
"May 06, 2002",1.535
"May 13, 2002",1.54
"May 20, 2002",1.636
"May 27, 2002",1.595
"Jun 03, 2002",1.617
"Jun 10, 2002",1.582
"Jun 17, 2002",1.543
"Jun 24, 2002",1.522
"Jul 01, 2002",1.511
"Jul 08, 2002",1.5
"Jul 15, 2002",1.524
"Jul 22, 2002",1.515
"Jul 29, 2002",1.58
"Aug 05, 2002",1.537
"Aug 12, 2002",1.503
"Aug 19, 2002",1.505
"Aug 26, 2002",1.549
"Sep 02, 2002",1.516
"Sep 09, 2002",1.55
"Sep 16, 2002",1.505
"Sep 23, 2002",1.549
"Sep 30, 2002",1.538
"Oct 07, 2002",1.609
"Oct 14, 2002",1.564
"Oct 21, 2002",1.629
"Oct 28, 2002",1.599
"Nov 04, 2002",1.583
"Nov 11, 2002",1.581
"Nov 18, 2002",1.505
"Nov 25, 2002",1.451
"Dec 02, 2002",1.419
"Dec 09, 2002",1.401
"Dec 16, 2002",1.417
"Dec 23, 2002",1.469
"Dec 30, 2002",1.536
"Jan 06, 2003",1.509
"Jan 13, 2003",1.539
"Jan 20, 2003",1.558
"Jan 27, 2003",1.554
"Feb 03, 2003",1.603
"Feb 10, 2003",1.672
"Feb 17, 2003",1.751
"Feb 24, 2003",1.759
"Mar 03, 2003",1.783
"Mar 10, 2003",1.822
"Mar 17, 2003",1.792
"Mar 24, 2003",1.729
"Mar 31, 2003",1.644
"Apr 07, 2003",1.624
"Apr 14, 2003",1.566
"Apr 21, 2003",1.595
"Apr 28, 2003",1.645
"May 05, 2003",1.553
"May 12, 2003",1.55
"May 19, 2003",1.604
"May 26, 2003",1.63
"Jun 02, 2003",1.594
"Jun 09, 2003",1.67
"Jun 16, 2003",1.675
"Jun 23, 2003",1.608
"Jun 30, 2003",1.568
"Jul 07, 2003",1.573
"Jul 14, 2003",1.614
"Jul 21, 2003",1.652
"Jul 28, 2003",1.583
"Aug 04, 2003",1.648
"Aug 11, 2003",1.668
"Aug 18, 2003",1.711
"Aug 25, 2003",1.874
"Sep 01, 2003",1.844
"Sep 08, 2003",1.847
"Sep 15, 2003",1.844
"Sep 22, 2003",1.762
"Sep 29, 2003",1.696
"Oct 06, 2003",1.681
"Oct 13, 2003",1.709
"Oct 20, 2003",1.702
"Oct 27, 2003",1.665
"Nov 03, 2003",1.705
"Nov 10, 2003",1.639
"Nov 17, 2003",1.603
"Nov 24, 2003",1.624
"Dec 01, 2003",1.591
"Dec 08, 2003",1.575
"Dec 15, 2003",1.575
"Dec 22, 2003",1.584
"Dec 29, 2003",1.557
"Jan 05, 2004",1.603
"Jan 12, 2004",1.652
"Jan 19, 2004",1.7
"Jan 26, 2004",1.75
"Feb 02, 2004",1.714
"Feb 09, 2004",1.757
"Feb 16, 2004",1.759
"Feb 23, 2004",1.774
"Mar 01, 2004",1.791
"Mar 08, 2004",1.809
"Mar 15, 2004",1.753
"Mar 22, 2004",1.795
"Mar 29, 2004",1.861
"Apr 05, 2004",1.878
"Apr 12, 2004",1.893
"Apr 19, 2004",1.925
"Apr 26, 2004",1.934
"May 03, 2004",1.991
"May 10, 2004",2.051
"May 17, 2004",2.187
"May 24, 2004",2.213
"May 31, 2004",2.174
"Jun 07, 2004",2.146
"Jun 14, 2004",2.065
"Jun 21, 2004",1.99
"Jun 28, 2004",1.974
"Jul 05, 2004",1.955
"Jul 12, 2004",1.983
"Jul 19, 2004",2.016
"Jul 26, 2004",1.974
"Aug 02, 2004",1.95
"Aug 09, 2004",1.97
"Aug 16, 2004",1.991
"Aug 23, 2004",1.994
"Aug 30, 2004",1.945
"Sep 06, 2004",1.905
"Sep 13, 2004",1.924
"Sep 20, 2004",1.958
"Sep 27, 2004",2.017
"Oct 04, 2004",2.009
"Oct 11, 2004",2.072
"Oct 18, 2004",2.121
"Oct 25, 2004",2.097
"Nov 01, 2004",2.129
"Nov 08, 2004",2.077
"Nov 15, 2004",2.021
"Nov 22, 2004",1.993
"Nov 29, 2004",2.013
"Dec 06, 2004",1.969
"Dec 13, 2004",1.867
"Dec 20, 2004",1.846
"Dec 27, 2004",1.805
"Jan 03, 2005",1.816
"Jan 10, 2005",1.881
"Jan 17, 2005",1.899
"Jan 24, 2005",1.923
"Jan 31, 2005",1.978
"Feb 07, 2005",1.973
"Feb 14, 2005",1.937
"Feb 21, 2005",1.944
"Feb 28, 2005",1.997
"Mar 07, 2005",2.116
"Mar 14, 2005",2.158
"Mar 21, 2005",2.231
"Mar 28, 2005",2.235
"Apr 04, 2005",2.315
"Apr 11, 2005",2.371
"Apr 18, 2005",2.308
"Apr 25, 2005",2.315
"May 02, 2005",2.301
"May 09, 2005",2.243
"May 16, 2005",2.241
"May 23, 2005",2.174
"May 30, 2005",2.143
"Jun 06, 2005",2.165
"Jun 13, 2005",2.184
"Jun 20, 2005",2.229
"Jun 27, 2005",2.334
"Jul 04, 2005",2.363
"Jul 11, 2005",2.462
"Jul 18, 2005",2.423
"Jul 25, 2005",2.402
"Aug 01, 2005",2.396
"Aug 08, 2005",2.501
"Aug 15, 2005",2.723
"Aug 22, 2005",2.823
"Aug 29, 2005",2.817
"Sep 05, 2005",3.111
"Sep 12, 2005",3.005
"Sep 19, 2005",2.846
"Sep 26, 2005",2.825
"Oct 03, 2005",2.95
"Oct 10, 2005",2.87
"Oct 17, 2005",2.777
"Oct 24, 2005",2.665
"Oct 31, 2005",2.579
"Nov 07, 2005",2.474
"Nov 14, 2005",2.374
"Nov 21, 2005",2.278
"Nov 28, 2005",2.22
"Dec 05, 2005",2.267
"Dec 12, 2005",2.277
"Dec 19, 2005",2.331
"Dec 26, 2005",2.342
"Jan 02, 2006",2.358
"Jan 09, 2006",2.438
"Jan 16, 2006",2.397
"Jan 23, 2006",2.389
"Jan 30, 2006",2.368
"Feb 06, 2006",2.37
"Feb 13, 2006",2.31
"Feb 20, 2006",2.281
"Feb 27, 2006",2.304
"Mar 06, 2006",2.495
"Mar 13, 2006",2.489
"Mar 20, 2006",2.591
"Mar 27, 2006",2.574
"Apr 03, 2006",2.704
"Apr 10, 2006",2.785
"Apr 17, 2006",2.888
"Apr 24, 2006",3.004
"May 01, 2006",2.981
"May 08, 2006",2.951
"May 15, 2006",3.023
"May 22, 2006",2.972
"May 29, 2006",2.965
"Jun 05, 2006",3.001
"Jun 12, 2006",3.021
"Jun 19, 2006",3.042
"Jun 26, 2006",3.093
"Jul 03, 2006",3.161
"Jul 10, 2006",3.235
"Jul 17, 2006",3.247
"Jul 24, 2006",3.234
"Jul 31, 2006",3.27
"Aug 07, 2006",3.276
"Aug 14, 2006",3.249
"Aug 21, 2006",3.191
"Aug 28, 2006",3.118
"Sep 04, 2006",2.978
"Sep 11, 2006",2.865
"Sep 18, 2006",2.733
"Sep 25, 2006",2.593
"Oct 02, 2006",2.473
"Oct 09, 2006",2.37
"Oct 16, 2006",2.3
"Oct 23, 2006",2.267
"Oct 30, 2006",2.307
"Nov 06, 2006",2.315
"Nov 13, 2006",2.351
"Nov 20, 2006",2.314
"Nov 27, 2006",2.337
"Dec 04, 2006",2.37
"Dec 11, 2006",2.354
"Dec 18, 2006",2.368
"Dec 25, 2006",2.409
"Jan 01, 2007",2.383
"Jan 08, 2007",2.347
"Jan 15, 2007",2.265
"Jan 22, 2007",2.171
"Jan 29, 2007",2.199
"Feb 05, 2007",2.295
"Feb 12, 2007",2.319
"Feb 19, 2007",2.398
"Feb 26, 2007",2.501
"Mar 05, 2007",2.566
"Mar 12, 2007",2.54
"Mar 19, 2007",2.556
"Mar 26, 2007",2.614
"Apr 02, 2007",2.725
"Apr 09, 2007",2.898
"Apr 16, 2007",3.013
"Apr 23, 2007",2.973
"Apr 30, 2007",3.132
"May 07, 2007",3.359
"May 14, 2007",3.408
"May 21, 2007",3.573
"May 28, 2007",3.661
"Jun 04, 2007",3.607
"Jun 11, 2007",3.5
"Jun 18, 2007",3.38
"Jun 25, 2007",3.279
"Jul 02, 2007",3.202
"Jul 09, 2007",3.189
"Jul 16, 2007",3.425
"Jul 23, 2007",3.302
"Jul 30, 2007",3.182
"Aug 06, 2007",3.106
"Aug 13, 2007",3.035
"Aug 20, 2007",3.116
"Aug 27, 2007",3.072
"Sep 03, 2007",3.243
"Sep 10, 2007",3.251
"Sep 17, 2007",3.156
"Sep 24, 2007",3.096
"Oct 01, 2007",3.011
"Oct 08, 2007",2.944
"Oct 15, 2007",2.884
"Oct 22, 2007",2.898
"Oct 29, 2007",2.951
"Nov 05, 2007",3.17
"Nov 12, 2007",3.218
"Nov 19, 2007",3.18
"Nov 26, 2007",3.163
"Dec 03, 2007",3.129
"Dec 10, 2007",3.067
"Dec 17, 2007",3.092
"Dec 24, 2007",3.072
"Dec 31, 2007",3.177
"Jan 07, 2008",3.267
"Jan 14, 2008",3.203
"Jan 21, 2008",3.132
"Jan 28, 2008",3.097
"Feb 04, 2008",3.112
"Feb 11, 2008",3.091
"Feb 18, 2008",3.209
"Feb 25, 2008",3.208
"Mar 03, 2008",3.196
"Mar 10, 2008",3.312
"Mar 17, 2008",3.418
"Mar 24, 2008",3.408
"Mar 31, 2008",3.485
"Apr 07, 2008",3.528
"Apr 14, 2008",3.606
"Apr 21, 2008",3.732
"Apr 28, 2008",3.793
"May 05, 2008",3.826
"May 12, 2008",3.986
"May 19, 2008",4.06
"May 26, 2008",4.213
"Jun 02, 2008",4.217
"Jun 09, 2008",4.213
"Jun 16, 2008",4.222
"Jun 23, 2008",4.256
"Jun 30, 2008",4.244
"Jul 07, 2008",4.343
"Jul 14, 2008",4.341
"Jul 21, 2008",4.269
"Jul 28, 2008",4.13
"Aug 04, 2008",4.064
"Aug 11, 2008",4.046
"Aug 18, 2008",4.072
"Aug 25, 2008",4.061
"Sep 01, 2008",3.987
"Sep 08, 2008",3.949
"Sep 15, 2008",4.337
"Sep 22, 2008",4.095
"Sep 29, 2008",3.956
"Oct 06, 2008",3.794
"Oct 13, 2008",3.506
"Oct 20, 2008",3.246
"Oct 27, 2008",2.95
"Nov 03, 2008",2.669
"Nov 10, 2008",2.447
"Nov 17, 2008",2.237
"Nov 24, 2008",1.971
"Dec 01, 2008",1.816
"Dec 08, 2008",1.692
"Dec 15, 2008",1.763
"Dec 22, 2008",1.771
"Dec 29, 2008",1.726
"Jan 05, 2009",1.904
"Jan 12, 2009",2.004
"Jan 19, 2009",2.051
"Jan 26, 2009",1.988
"Feb 02, 2009",1.962
"Feb 09, 2009",1.957
"Feb 16, 2009",2.036
"Feb 23, 2009",1.956
"Mar 02, 2009",2
"Mar 09, 2009",2.07
"Mar 16, 2009",1.98
"Mar 23, 2009",2.097
"Mar 30, 2009",2.179
"Apr 06, 2009",2.14
"Apr 13, 2009",2.182
"Apr 20, 2009",2.178
"Apr 27, 2009",2.228
"May 04, 2009",2.295
"May 11, 2009",2.556
"May 18, 2009",2.609
"May 25, 2009",2.684
"Jun 01, 2009",2.785
"Jun 08, 2009",2.962
"Jun 15, 2009",2.907
"Jun 22, 2009",2.917
"Jun 29, 2009",2.863
"Jul 06, 2009",2.807
"Jul 13, 2009",2.699
"Jul 20, 2009",2.631
"Jul 27, 2009",2.658
"Aug 03, 2009",2.711
"Aug 10, 2009",2.775
"Aug 17, 2009",2.734
"Aug 24, 2009",2.746
"Aug 31, 2009",2.724
"Sep 07, 2009",2.67
"Sep 14, 2009",2.666
"Sep 21, 2009",2.635
"Sep 28, 2009",2.564
"Oct 05, 2009",2.537
"Oct 12, 2009",2.598
"Oct 19, 2009",2.7
"Oct 26, 2009",2.864
"Nov 02, 2009",2.872
"Nov 09, 2009",2.834
"Nov 16, 2009",2.772
"Nov 23, 2009",2.755
"Nov 30, 2009",2.749
"Dec 07, 2009",2.732
"Dec 14, 2009",2.714
"Dec 21, 2009",2.733
"Dec 28, 2009",2.771
"Jan 04, 2010",2.828
"Jan 11, 2010",2.925
"Jan 18, 2010",2.886
"Jan 25, 2010",2.84
"Feb 01, 2010",2.782
"Feb 08, 2010",2.754
"Feb 15, 2010",2.7
"Feb 22, 2010",2.836
"Mar 01, 2010",2.83
"Mar 08, 2010",2.862
"Mar 15, 2010",2.92
"Mar 22, 2010",3.062
"Mar 29, 2010",3.02
"Apr 05, 2010",3.081
"Apr 12, 2010",3.091
"Apr 19, 2010",3.125
"Apr 26, 2010",3.112
