Month,route,Predicted_Ridership_2019,Ridership_2018,Classification,Accuracy_of_Prediction
July,3,440332,438230,Almost Same,98.02376083492992
August,3,426639,425307,Almost Same,98.5909454188154
September,3,437412,448073,Almost Same,97.99746261239878
Ocotber,3,461374,490167,Almost Same,98.1945211490305
November,3,406057,418467,Almost Same,97.21685637769696
December,3,401988,389644,Almost Same,96.79660614756158
July,4,515089,509974,Almost Same,99.64974343384094
August,4,503984,518099,Almost Same,98.78064191811971
September,4,508184,527520,Almost Same,98.62781766402304
Ocotber,4,526622,571569,Almost Same,98.54248354132339
November,4,468840,499498,Almost Same,98.61243445503821
December,4,464214,479460,Almost Same,98.9536402423854
July,8,489265,457086,Almost Same,99.06344733195367
August,8,511661,487282,Almost Same,99.09959755906087
September,8,581640,551674,Almost Same,99.91602885303672
Ocotber,8,620907,620303,Almost Same,99.88539928696295
November,8,555762,543987,Almost Same,99.79971997885933
December,8,481444,460794,Almost Same,99.29703526895652
July,12,315431,311431,Almost Same,94.27009436595911
August,12,320179,320891,Almost Same,95.87876411548145
September,12,343583,336948,Almost Same,96.00911339541719
Ocotber,12,363973,366561,Almost Same,96.55469692189781
November,12,329447,321951,Almost Same,95.0228727049151
December,12,312613,300882,Almost Same,94.28166905644383
July,20,406145,408988,Almost Same,98.49554533179192
August,20,403895,420643,Almost Same,98.42435477825161
September,20,415113,419425,Almost Same,98.7031853827527
Ocotber,20,443441,470934,Almost Same,98.95549249144263
November,20,401789,410309,Almost Same,98.16692548617215
December,20,398064,401428,Almost Same,98.1165475050903
July,21,248824,238095,Almost Same,94.13604296050838
August,21,258714,249559,Almost Same,95.18778228690883
September,21,255348,248013,Almost Same,95.19646558370933
Ocotber,21,264803,263522,Almost Same,95.6006191630785
November,21,233816,223454,Almost Same,93.48267027643821
December,21,232680,216631,Almost Same,93.47671019770347
July,22,464006,441939,Almost Same,99.03811981507995
August,22,461814,446676,Almost Same,99.86528726275428
September,22,447373,427436,Almost Same,99.58873968201954
Ocotber,22,469341,460392,Almost Same,99.65451893589308
November,22,429839,418988,Almost Same,98.59512328395326
December,22,438946,422844,Almost Same,98.70640750202112
July,27,132506,142729,Almost Same,97.2925875344484
August,27,129961,143055,Almost Same,97.30965127618192
September,27,140246,154552,Almost Same,97.25304190243722
Ocotber,27,126598,143101,Slight Decrease,97.59109428404773
November,27,126556,136358,Almost Same,97.57759601242152
December,27,117717,139562,Slight Decrease,97.45845402000451
July,29,339360,324005,Almost Same,96.76226054630578
August,29,325218,313386,Almost Same,96.18236180346129
September,29,330052,311092,Almost Same,95.89106857091187
Ocotber,29,326706,321321,Almost Same,96.1451247165533
November,29,285514,274632,Almost Same,94.91290327160226
December,29,285883,272428,Almost Same,94.90493135759729
July,36,354919,346763,Almost Same,97.46165560086799
August,36,342275,341702,Almost Same,98.64607714612008
September,36,339800,323344,Almost Same,97.980628929307
Ocotber,36,356678,345666,Almost Same,98.19581305979466
November,36,332740,324364,Almost Same,97.84446102315185
December,36,331435,327554,Almost Same,97.53217991632846
July,49B,162951,137312,Slight Decrease,85.85798141562282
August,49B,162616,140850,Slight Decrease,86.07684460341702
September,49B,163811,143182,Slight Decrease,86.01726420758402
Ocotber,49B,167284,155480,Almost Same,86.0830505660534
November,49B,150081,133590,Slight Decrease,83.69530481401036
December,49B,149515,125144,Slight Decrease,82.64570613771981
July,50,243825,221778,Almost Same,92.29028449253477
August,50,243845,233637,Almost Same,92.55105323158253
September,50,279652,245755,Slight Decrease,93.13192412397548
Ocotber,50,287932,272442,Almost Same,93.622351589618
November,50,258165,236153,Almost Same,92.45470196760121
December,50,239480,210669,Slight Decrease,92.37488320692074
July,52,305047,298342,Almost Same,95.86686043298319
August,52,314591,316891,Almost Same,96.88231658206746
September,52,337717,331661,Almost Same,96.99788856172101
Ocotber,52,349874,358496,Almost Same,96.53618077948501
November,52,309737,306914,Almost Same,95.56476842666544
December,52,300020,288482,Almost Same,95.06377948074024
July,53,466501,434916,Almost Same,98.87189956125873
August,53,469497,456067,Almost Same,99.05978989320207
September,53,487450,476676,Almost Same,99.09633373206037
Ocotber,53,503467,523817,Almost Same,99.30667757712104
November,53,451753,454863,Almost Same,98.67161921595104
December,53,445176,448681,Almost Same,98.55337615735768
July,53A,185120,155690,Slight Decrease,87.40070313735508
August,53A,187061,168757,Slight Decrease,87.480207423906
September,53A,220509,200462,Slight Decrease,89.48275964940544
Ocotber,53A,215846,221174,Almost Same,89.10809024245725
November,53A,190326,176227,Almost Same,85.99438936975253
December,53A,179679,154975,Slight Decrease,84.06606642037397
July,60,262036,249447,Almost Same,93.33379855239336
August,60,275606,263630,Almost Same,93.73954995906735
September,60,316946,294342,Almost Same,94.98574724525895
Ocotber,60,335031,324202,Almost Same,95.45524856804957
November,60,295754,284996,Almost Same,93.94089977182449
December,60,266124,241030,Slight Decrease,93.02076196831446
July,62,273173,256105,Almost Same,93.35581980631444
August,62,275729,257842,Almost Same,93.51153257861276
September,62,293701,268603,Almost Same,94.33700959418597
Ocotber,62,291061,290074,Almost Same,95.25362134431747
November,62,266614,248649,Almost Same,94.38885251504831
December,62,262422,236232,Slight Decrease,93.44402557167045
July,63,395860,392193,Almost Same,97.36132367924198
August,63,394353,396242,Almost Same,98.35730364108116
September,63,418697,419494,Almost Same,98.33524518997797
Ocotber,63,423221,450719,Almost Same,98.88064740706204
November,63,384678,393401,Almost Same,97.40440083689512
December,63,380709,377224,Almost Same,97.14222931021263
July,65,245261,228360,Almost Same,92.01076768277814
August,65,237339,229498,Almost Same,93.14683359713682
September,65,227415,217121,Almost Same,93.05353638229244
Ocotber,65,247250,236669,Almost Same,93.72838523741777
November,65,216121,205191,Almost Same,89.78152089047875
December,65,213978,191438,Slight Decrease,88.61804820204087
July,66,572183,586467,Almost Same,99.64574937670399
August,66,559825,599298,Almost Same,99.41160571345405
September,66,558756,576566,Almost Same,99.45002870682195
Ocotber,66,609192,627974,Almost Same,99.49758376229182
November,66,540923,513727,Almost Same,99.181257089747
December,66,524556,501932,Almost Same,98.86747747633609
July,67,257248,247575,Almost Same,92.91215149795963
August,67,253023,249228,Almost Same,93.09681241996344
September,67,275091,270121,Almost Same,93.44975266425418
Ocotber,67,280978,291280,Almost Same,93.65792452602359
November,67,259903,249330,Almost Same,92.09161925639822
December,67,255794,241726,Almost Same,92.53379475332817
July,70,230769,205821,Slight Decrease,92.0174424175173
August,70,229510,216838,Almost Same,91.5121074569726
September,70,237936,223648,Almost Same,91.78766936533708
Ocotber,70,239889,248436,Almost Same,90.7974890931454
November,70,224204,212661,Almost Same,89.3526319376391
December,70,216095,201142,Almost Same,89.25746127244594
July,72,400516,389158,Almost Same,98.64711631040046
August,72,402337,405535,Almost Same,98.57464452544151
September,72,388359,374809,Almost Same,98.20261817263145
Ocotber,72,404622,406812,Almost Same,98.33187838132761
November,72,365659,354343,Almost Same,97.41962020556313
December,72,353901,344053,Almost Same,97.58478950968737
July,74,308152,296527,Almost Same,96.61154863316895
August,74,307111,306405,Almost Same,96.9161838014297
September,74,324241,313769,Almost Same,97.28778992590448
Ocotber,74,341627,339587,Almost Same,97.51222672458066
November,74,309005,287157,Almost Same,96.31341817611822
December,74,288320,270577,Almost Same,95.26532223426737
July,75,197671,173837,Slight Decrease,88.06954135772611
August,75,196123,174512,Slight Decrease,88.82311386520404
September,75,206127,183217,Slight Decrease,89.79843511883759
Ocotber,75,206224,196407,Almost Same,90.17219810047244
November,75,194038,173556,Slight Decrease,87.81590664063317
December,75,195502,172016,Slight Decrease,87.74848153024021
July,76,302787,284285,Almost Same,95.93961671783325
August,76,308074,305552,Almost Same,95.25380014134414
September,76,308511,292407,Almost Same,94.8835828305666
Ocotber,76,333404,319660,Almost Same,95.62378707282379
November,76,293560,274858,Almost Same,93.95585275352208
December,76,280140,259727,Almost Same,92.90260919430374
July,77,502504,495908,Almost Same,99.61549364641778
August,77,483326,482598,Almost Same,99.88407105981423
September,77,483143,500926,Almost Same,99.32826105938291
Ocotber,77,532412,566620,Almost Same,99.66523549996967
November,77,476165,491551,Almost Same,98.6454475958565
December,77,451736,450930,Almost Same,98.28831152845977
July,78,217196,195720,Slight Decrease,90.2833434483608
August,78,209552,202139,Almost Same,93.3912043261765
September,78,218072,204292,Almost Same,93.74710413109548
Ocotber,78,223175,233780,Almost Same,95.11603930049013
November,78,204304,198023,Almost Same,92.20225092875812
December,78,181909,175246,Almost Same,89.35078416958201
July,79,628666,620122,Almost Same,99.74244659865563
August,79,625907,632220,Almost Same,99.87180998061612
September,79,654014,652934,Almost Same,99.80120853179235
Ocotber,79,662630,696242,Almost Same,99.98241805552891
November,79,612324,622819,Almost Same,99.61329616654668
December,79,609797,604502,Almost Same,99.55606424338202
July,81,311045,308592,Almost Same,96.01410981913318
August,81,308517,309984,Almost Same,95.94173639234941
September,81,307891,305797,Almost Same,95.58613499524255
Ocotber,81,314984,320145,Almost Same,95.70869801579944
November,81,298869,284771,Almost Same,94.98057739883558
December,81,284340,278565,Almost Same,95.06203756963092
July,82,407262,403494,Almost Same,97.78103188507234
August,82,407663,407398,Almost Same,97.73737732819018
September,82,455562,452313,Almost Same,98.48385054275076
Ocotber,82,457195,499610,Almost Same,99.17694760206719
November,82,425039,429764,Almost Same,98.53617924287549
December,82,408133,388772,Almost Same,98.46722325601452
July,85,246866,238304,Almost Same,91.92375999077719
August,85,249809,237891,Almost Same,92.70917314072524
September,85,267083,249150,Almost Same,93.2714970373914
Ocotber,85,267613,259073,Almost Same,92.91054581154103
November,85,247137,220726,Slight Decrease,91.20569516766031
December,85,239213,217847,Almost Same,91.06712143912107
July,87,308319,293643,Almost Same,93.83866828990354
August,87,307628,298808,Almost Same,93.80693317342403
September,87,316125,309142,Almost Same,94.22280857735586
Ocotber,87,309632,333848,Almost Same,94.10476206762053
November,87,278780,292338,Almost Same,92.74768115225162
December,87,283347,284215,Almost Same,93.18157624090271
July,91,171025,150660,Slight Decrease,85.82072256890498
August,91,173918,158784,Almost Same,86.37037493345927
September,91,183099,165039,Slight Decrease,87.15908887482199
Ocotber,91,190267,179454,Almost Same,87.83771189628436
November,91,167262,153230,Almost Same,85.01188831174188
December,91,159837,144289,Slight Decrease,84.20954588732046
July,92,164885,148775,Slight Decrease,87.459242733896
August,92,159460,155009,Almost Same,87.38302906176065
September,92,177762,165671,Almost Same,90.17357366156932
Ocotber,92,178429,175592,Almost Same,87.79852111634335
November,92,168573,152302,Slight Decrease,85.24229324801163
December,92,161402,141091,Slight Decrease,83.28583101847788
July,94,212486,202182,Almost Same,93.10352923026358
August,94,216603,203572,Almost Same,94.98608104071059
September,94,233241,213497,Almost Same,96.20268669171918
Ocotber,94,231959,233875,Almost Same,95.8680848380294
November,94,208226,196141,Almost Same,94.10659858894687
December,94,203009,182375,Slight Decrease,95.08063744074722
July,151,455627,447140,Almost Same,98.38881117039381
August,151,448171,452691,Almost Same,98.58011514641906
September,151,410820,416114,Almost Same,97.5845974938543
Ocotber,151,434390,430161,Almost Same,98.10837805095721
November,151,391791,389304,Almost Same,97.06926602543412
December,151,406059,395955,Almost Same,97.51056355464276
July,152,218867,211035,Almost Same,91.67543403170582
August,152,224655,226510,Almost Same,91.0788887080371
September,152,276520,265204,Almost Same,92.76434682116792
Ocotber,152,257202,274866,Almost Same,91.75783941332006
November,152,239413,226339,Almost Same,90.30065599059162
December,152,224303,207828,Almost Same,89.53707338602294
July,203,33474,33400,Almost Same,95.63094904035884
August,203,29578,32005,Almost Same,95.33582718296094
September,203,32771,33763,Almost Same,96.44042164187526
Ocotber,203,31142,36609,Slight Decrease,96.09349678747785
November,203,34892,40144,Slight Decrease,96.4371929467501
December,203,22428,30045,Heavy Decrease,91.4764047584486
July,204,29934,29495,Almost Same,94.61242883296116
August,204,28801,26747,Almost Same,94.59118444625692
September,204,29260,29765,Almost Same,94.49429443660352
Ocotber,204,28039,31949,Slight Decrease,94.08435908643668
November,204,27932,32453,Slight Decrease,93.80937898273666
December,204,19352,28978,Heavy Decrease,87.55806779163936
